Minute,PMV
10:00,0.3715254237288136
10:01,0.42133333333333334
10:02,0.4315
10:03,0.40399999999999997
10:04,0.44016666666666665
10:05,0.42
10:10,-0.10683333333333334
10:11,0.10316666666666666
10:12,0.02266666666666667
10:13,-0.029166666666666667
10:14,-0.07633333333333334
10:15,-0.057666666666666665
10:16,0.294
10:17,0.24833333333333335
10:18,0.17366666666666666
10:19,0.1825
10:20,0.3248333333333333
10:21,0.21316666666666664
10:22,0.2518333333333333
10:23,0.13483333333333333
10:24,0.20833333333333334
10:25,-0.12
10:30,0.38866666666666666
10:31,0.3433333333333334
10:32,0.494
10:33,0.29900000000000004
10:34,0.4275
10:35,0.09833333333333334
10:36,0.2853333333333333
10:37,0.3078333333333333
10:38,0.43366666666666664
10:39,0.43483333333333335
10:40,0.36016666666666663
10:41,0.351
10:42,0.4765
10:43,0.4608333333333333
10:44,0.5263333333333333
10:45,0.63
11:00,-1.8257627118644069
11:01,-7.2635
11:02,-4.225333333333333
11:03,-3.9021666666666666
11:04,-4.55
11:05,-4.77
11:06,-2.696166666666667
11:07,-6.610166666666667
11:08,-7.821833333333333
11:09,-4.5435
11:10,-4.301
11:11,-3.1165000000000003
11:12,-2.171666666666667
11:13,-1.0066666666666666
11:14,-0.5648333333333333
11:15,-0.7031147540983607
11:16,-0.9978333333333332
11:17,-0.33699999999999997
11:18,-1.2023333333333333
11:19,-0.6901666666666667
11:20,-1.0661666666666667
11:21,-0.6066666666666667
11:22,-0.7336666666666667
11:23,-0.4355
11:24,-0.6498333333333334
11:25,-0.9053333333333333
11:26,-0.5790000000000001
11:27,-0.8091666666666666
11:28,-0.5221666666666667
11:29,-0.5823333333333333
11:30,-0.28
9:00:,-2.4206779661016946
9:01:,-2.2681666666666667
9:02:,-1.0188333333333335
9:03:,-1.7216666666666667
9:04:,-1.7331666666666665
9:05:,-2.408333333333333
9:06:,-3.6256666666666666
9:07:,-2.2916666666666665
9:08:,-3.7155
9:09:,-4.050333333333334
9:10:,-2.9981666666666666
9:11:,-0.9905
9:12:,-0.7691666666666667
9:13:,-0.9216666666666666
9:14:,-1.8781666666666665
9:15:,-2.7
9:30:,0.052000000000000005
9:31:,-0.0006666666666666671
9:32:,0.06966666666666667
9:33:,0.13899999999999998
9:34:,0.08666666666666667
9:35:,0.09733333333333333
9:36:,0.09466666666666666
9:37:,0.109
9:38:,0.12733333333333335
9:39:,0.15466666666666667
9:40:,0.14666666666666667
9:41:,0.18233333333333332
9:42:,0.2036666666666667
9:43:,0.192
9:44:,0.166
9:50:,-0.15033333333333332
9:51:,0.12516666666666668
9:52:,0.3126666666666667
9:53:,0.34550000000000003
9:54:,0.374
9:55:,0.3795
9:56:,0.3971666666666667
9:57:,0.39216666666666666
9:58:,0.39483333333333337
9:59:,0.4151666666666667
