Minute,Value
09:00,23.829322033898308
09:01,24.2715
09:02,26.588
09:03,25.485666666666667
09:04,25.50883333333333
09:05,24.3755
09:06,22.057000000000002
09:07,24.543666666666663
09:08,22.112833333333334
09:09,21.44516666666667
09:10,23.45266666666667
09:11,27.137
09:12,27.688
09:13,27.455166666666667
09:14,25.942166666666665
09:15,24.46
09:30,25.299333333333333
09:31,25.172
09:32,25.346
09:33,25.552
09:34,25.400333333333332
09:35,25.424333333333333
09:36,25.448666666666668
09:37,25.492666666666665
09:38,25.554333333333332
09:39,25.599
09:40,25.567
09:41,25.685666666666666
09:42,25.73
09:43,25.675
09:44,25.627666666666666
09:50,24.671499999999998
09:51,25.284499999999998
09:52,25.410666666666668
09:53,25.529166666666665
09:54,25.567666666666664
09:55,25.608999999999998
09:56,25.630166666666664
09:57,25.64966666666667
09:58,25.644000000000002
09:59,25.739833333333333
10:00,25.698305084745762
10:01,25.66433333333333
10:02,25.69333333333333
10:03,25.631000000000004
10:04,25.727666666666668
10:05,25.7
10:10,25.3775
10:11,25.634166666666665
10:12,25.631833333333336
10:13,25.669833333333333
10:14,25.5375
10:15,25.500333333333334
10:16,25.6895
10:17,25.738166666666665
10:18,25.724
10:19,25.729833333333332
10:20,25.961833333333335
10:21,25.901833333333332
10:22,25.986333333333334
10:23,25.845166666666668
10:24,25.948500000000003
10:25,25.49
10:30,26.107000000000003
10:31,26.114166666666666
10:32,26.076666666666664
10:33,25.990666666666666
10:34,26.434833333333334
10:35,25.911166666666666
10:36,25.954666666666665
10:37,26.110666666666667
10:38,26.2665
10:39,26.107000000000003
10:40,26.091333333333335
10:41,26.302
10:42,26.397499999999997
10:43,26.389166666666664
10:44,26.4725
10:45,26.57
11:00,30.26372881355932
11:01,25.206833333333336
11:02,27.842333333333332
11:03,28.3565
11:04,27.7325
11:05,27.58216666666667
11:06,29.351666666666667
11:07,25.8965
11:08,24.27583333333333
11:09,27.294500000000003
11:10,24.564666666666664
11:11,24.57
11:12,21.497166666666665
11:13,24.174333333333333
11:14,24.738
11:15,24.530655737704915
11:16,24.142666666666667
11:17,25.217333333333332
11:18,23.848666666666666
11:19,24.599666666666668
11:20,24.0385
11:21,24.796833333333332
11:22,24.587666666666667
11:23,25.042333333333332
11:24,24.687333333333335
11:25,24.315833333333334
11:26,24.84333333333333
11:27,24.616333333333333
11:28,25.098166666666668
11:29,25.007833333333334
11:30,25.52
